,date,link,username,tweet,like,retweet,reply,qrt
0,2021-08-30 14:46:48+00:00,https://twitter.com/xijennieya/status/1432354117440004097,xijennieya,@ayvl astgaa hahaha kiraiin msib kulyah😭 btw congrats yaaa,0,0,1,0
1,2021-08-30 08:34:50+00:00,https://twitter.com/BEM_FIPHAL/status/1432260509063991296,BEM_FIPHAL,"[FIPHAL BERPRESTASI]

🎉🎊
Selamat kepada saudari
👸🏻Lola Amelia

yang telah berhasil lolos seleksi pada program Merdeka Belajar-Kampus Merdeka (MBKM) Program Studi Independen Bersertifikat (MSIB).

Tetap semangat untuk terus berkarya kedepannya dan semoga bisa menjadi inspirasi https://t.co/s1Jwk27dyT",0,0,1,0
2,2021-08-30 08:03:07+00:00,https://twitter.com/rilislampung/status/1432252528788312065,rilislampung,"Pada tahun ini, total ada 18 mahasiswa UTI yang menjadi peserta MSIB. Mereka terdiri dari beberapa program studi (Prodi). https://t.co/GMvgQwvDyV",0,0,0,0
3,2021-08-29 13:04:53+00:00,https://twitter.com/ntsktv_/status/1431966082386915338,ntsktv_,"@ngalamfess Benefit e banyak, kaya uang saku, pengalaman , konversi sks. Aku alumni program km 1 dan saiki lolos program msib dan proyek kemanusiaan mbkm. Tanya tanya boleh",0,0,1,0
4,2021-08-28 20:09:16+00:00,https://twitter.com/WBIAnola/status/1431710496600772608,WBIAnola,MSIB Vol XXI Issue 058 ZULU Attachments https://t.co/g0spUNzHaM,0,0,0,0
5,2021-08-28 06:53:00+00:00,https://twitter.com/milkamil_/status/1431510105875353602,milkamil_,"ada yg bisa jelasin bedanya mbkm, kmmi, sama msib?😭",0,0,0,0
6,2021-08-28 04:04:31+00:00,https://twitter.com/ynairtif_/status/1431467706855747587,ynairtif_,@collegemenfess sekarang mah kayaknya MSIB deh? Magang dan Studi Independen Bersertifikat? Tapi programnya mah dari Merdeka Belajar Kampus Merdeka (MBKM) ga sih? Cmiiw,0,0,0,0
7,2021-08-27 19:55:42+00:00,https://twitter.com/WBIAnola/status/1431344690696175618,WBIAnola,MSIB Vol XXI Issue 056 Hurricane IDA Vessel Traffic Control Measures https://t.co/6S9OoR6dU3,0,0,0,0
8,2021-08-27 19:26:38+00:00,https://twitter.com/sikerIer/status/1431337376794697732,sikerIer,@FENDlMIN susabr msib,0,0,0,0
9,2021-08-27 16:20:21+00:00,https://twitter.com/anyethecreator/status/1431290496756772865,anyethecreator,NGAKU KM MSIB 5 TAHUN KAN,0,0,0,0
10,2021-08-27 15:14:43+00:00,https://twitter.com/upi_official/status/1431273982171369472,upi_official,"Selamat malam, #SivitasUPI! Pada Kamis, 26 Agustus 2021 UPI telah melaksanakan acara pelepasan mahasiswa Program Indonesia International Mobility Awards (IISMA) dan Program Magang dan Studi Independen Bersertifikat (MSIB). 

#SeputarUPI
#PelopordanUnggul https://t.co/ystdovMQKE",2,0,0,0
11,2021-08-26 22:04:45+00:00,https://twitter.com/WBIAnola/status/1431014782405070867,WBIAnola,"SecNOLA:Port Condition WHISKEY, see MSIB XXI Iss054. Mariners-drawbridges will close when wind speeds exceed 35 mph or once evacuation begins. As a result, mariners are urged to seek passage through drawbridges well in advance of the arrival of gale force winds.#waterways",0,0,0,0
12,2021-08-26 15:20:49+00:00,https://twitter.com/fasilkomunej/status/1430913128909348873,fasilkomunej,"MSIB (Magang dan Studi Independen Bersertifikat) merupakan salah satu program dari program merdeka belajar kampus merdeka yang diselenggarakan oleh Kemendikbudristek dan bekerjasama dengan banyak sekali mitra dari beberapa sektor usaha.

Informasi lebih :
https://t.co/fkTCH11fD5",1,0,0,0
13,2021-08-26 15:20:02+00:00,https://twitter.com/fasilkomunej/status/1430912930350977027,fasilkomunej,"Selamat! 
Fasilkom Mendominasi Jumlah Mahasiswa UNEJ Yang Diterima Di Program MSIB Tahun 2021

Dengan Rincian :
1. Prodi Sistem Informasi : 38 Mahasiswa
2. Prodi Informatika : 34 Mahasiswa 
2. Prodi Teknologi Informasi : 14 Mahasiswa https://t.co/brJO3KkPuM",6,1,1,0
14,2021-08-26 11:25:29+00:00,https://twitter.com/collegemenfess/status/1430853904250466311,collegemenfess,[PENTING] MSIB dah ngasi kepastian guys hahahiks [CM],0,0,0,0
15,2021-08-26 03:13:54+00:00,https://twitter.com/pddikti/status/1430730191958020102,pddikti,"Sejak pembukaan Program MSIB, PDDikti telah menerima lebih dari 4.400 pelamar yang kemudian menyisakan 18 mahasiswa terpilih untuk belajar lebih dekat mengenai data dan teknologi di dunia pendidikan tinggi. https://t.co/tGzGhbdDXH",0,0,1,0
16,2021-08-26 03:13:50+00:00,https://twitter.com/pddikti/status/1430730176896278533,pddikti,"Halo, #SobatPDDikti!

Pada tanggal 23 Agustus lalu, Menteri Pendidikan, Kebudayaan, Riset, dan Teknologi, (handle mas nadiem), melepas 13.272 mahasiswa sebagai simbol dimulainya program MSIB (Magang dan Studi Independen Bersertifikat). https://t.co/rNkDpIMvKg",1,0,1,0
17,2021-08-26 02:59:33+00:00,https://twitter.com/boatconsulting/status/1430726583724122121,boatconsulting,MSIB: Commercial fishing vessel alternative-to-class requirements https://t.co/oNpkfLkyz1,0,0,0,0
18,2021-08-25 15:20:51+00:00,https://twitter.com/cokelatenemy/status/1430550749985918977,cokelatenemy,@snouflaxes diam 😭 msib trmor 😭😭😭,0,0,0,0
19,2021-08-25 08:44:58+00:00,https://twitter.com/arvinvincible/status/1430451122951507972,arvinvincible,Naalala ko yung MOLE era ng MSIB hahaha @NoOtherMon @shanicegarcia @marcelojosemr,4,0,1,0
20,2021-08-25 06:18:17+00:00,https://twitter.com/ditjendikti/status/1430414208215048195,ditjendikti,"@icallyousee Halo #InsanDikti, untuk pembatalan program magang dan studi independen diajukan melalui perusahaan atau mitra. Nanti dari pihak perusahaan atau mitra yang melaporkan ke tim program Magang dan Studi Independen Bersertifikat (MSIB).",0,0,1,0
21,2021-08-24 12:34:36+00:00,https://twitter.com/univnusamandiri/status/1430146522834903057,univnusamandiri,"Sebanyak 28 Mahasiswa UNM Lolos Seleksi MSIB Kampus Merdeka |Republika Online

https://t.co/xxB8TGo7FE",0,0,0,0
22,2021-08-24 09:44:33+00:00,https://twitter.com/ditjendikti/status/1430103730255392773,ditjendikti,"Halo #InsanDikti,

Selamat ya, bagi #InsanDikti yang telah lolos mengikuti program Magang dan Studi Independen Bersertifikat (MSIB). Nah, untuk mempersiapkan diri saat mulai magang nanti, #InsanDikti harus tahu sifat yang bisa diterapkan saat menjadi anak magang. https://t.co/3aNExLGdwm",8,4,2,0
23,2021-08-24 07:04:35+00:00,https://twitter.com/FIBUB_OFFICIAL/status/1430063472444796931,FIBUB_OFFICIAL,"[HASIL SELEKSI MAHASISWA PROGRAM MAGANG DAN STUDI INDEPENDEN BERSERTIFIKAT 2021]

Salam Budaya!

Selamat kepada mahasiswa FIB yang telah lolos seleksi Program Magang dan Studi Independen Bersertifikat (MSIB) 2021 pada platform MBKM

#MBKM #MSIB #KampusUB #UniversitasBrawijaya https://t.co/FJZ6u6YgcV",0,0,0,0
24,2021-08-24 06:34:51+00:00,https://twitter.com/VokasiUB/status/1430055987851923462,VokasiUB,"Pengumuman Mahasiswa yang Diterima Program Magang dan Studi Independen Bersertifikat (MSIB) Kampus Merdeka
https://t.co/WqtpLe9tzM",0,0,0,0
25,2021-08-23 15:37:06+00:00,https://twitter.com/winwin_yyy/status/1429830063654985729,winwin_yyy,@collegemenfess Msib apa nder boleh tolong jelaskan?,0,0,0,0
26,2021-08-23 13:36:42+00:00,https://twitter.com/Mahdavia1/status/1429799762211921921,Mahdavia1,@collegemenfess IISMA sama MSIB beda ya?,0,0,0,0
27,2021-08-23 06:23:03+00:00,https://twitter.com/lauwrazn/status/1429690629882220547,lauwrazn,Balada grup seputar uang saku peserta program MSIB Kampus Merdeka~ https://t.co/SCerGMYkQy,0,0,0,0
28,2021-08-23 05:12:38+00:00,https://twitter.com/itk_official_/status/1429672909031690245,itk_official_,"*Halo mahasiswa ITK*📢📢

Hayooo siapa yang nungguin pengumuman MSIB?atau PMMB?

📌 *Cek disini ya* ⤵️
https://t.co/u0pGxAUZbF

📌 *Bagi mahasiswa yang lolos silahkan bergabung di grup WA melalui link*⬇️
https://t.co/tgdxIVGW9O

Selamat untuk yang lolos,🎉🎉🎉 https://t.co/K3vYXXXili",2,0,0,0
29,2021-08-23 05:01:48+00:00,https://twitter.com/hmja_pnj/status/1429670183149338628,hmja_pnj,"Direktur atas surat Dirjen Vokasi Nomor 4672/D.D3/KM.05.02/2021 tanggal 21 Agustus 2021 tentang Mahasiswa yang diterima, untuk kelanjutan program tersebut diperlukan Surat Rekomendasi dari Institusi (PNJ) yang harus segera disampaikan ke Panitia MSIB. Adapun isi surat",0,0,1,0
30,2021-08-23 04:57:06+00:00,https://twitter.com/hmja_pnj/status/1429669002079399939,hmja_pnj,"Menindaklanjuti disposisi Direktur atas surat Dirjen Vokasi Nomor 4672/D.D3/KM.05.02/2021 tanggal 21 Agustus 2021 tentang Mahasiswa yang diterima, untuk kelanjutan program tersebut diperlukan Surat Rekomendasi dari Institusi (PNJ) yang harus segera disampaikan ke Panitia MSIB.",0,0,1,0
31,2021-08-23 01:39:06+00:00,https://twitter.com/daegalmonn/status/1429619172246364163,daegalmonn,@chocomilkshoon Aaaa iriii😭😭 ini soalnya kebanyakan barangnya ku msib ridi kr/po 🥲 wkwkwkwkw,0,0,1,0
32,2021-08-23 01:37:23+00:00,https://twitter.com/Career_UMJ/status/1429618742774833162,Career_UMJ,"National Onboarding: Pelepasan Mahasiswa program Magang dan Studi Independen Bersertifikat (MSIB)

Hari Senin
Tanggal 23 Agustus 2021
Pukul 14.00-15.00 WIB
Melalui channel Youtube Ditjen Dikti Kemdikbudristek https://t.co/vcL8qMux51",0,0,0,0
33,2021-08-22 22:38:05+00:00,https://twitter.com/_NusaMandiri/status/1429573617545715713,_NusaMandiri,Sebanyak 28 Mahasiswa UNM Lolos Seleksi MSIB Kampus Merdeka |Republika Online https://t.co/JmksEYHMJD,0,0,0,0
34,2021-08-22 14:10:07+00:00,https://twitter.com/collegemenfess/status/1429445785444229122,collegemenfess,[cm] hi bestiee. Mo nanya nie. Yang lulus SI tuh kita ada digaji jugaa kah? Kalo iya tiap lembaga nominalnya beda atau ada ketetapannyaa?? Kl bole tau nominalnya brp??:’D Maaciw dan semangat yg mulaii kegiatan msib besokk&lt;3,1,0,1,0
35,2021-08-22 12:40:12+00:00,https://twitter.com/os1990/status/1429423158088536065,os1990,@khairul_hafidz Ksian dok msib ada pmimpin mcm tmj klu idak smpai bila2 antivaks ni berleluasa,0,0,0,0
36,2021-08-22 12:08:38+00:00,https://twitter.com/semicarxt/status/1429415213233688579,semicarxt,"@qwercute Mjb, ini grafik msib doang",0,0,1,0
37,2021-08-22 10:50:20+00:00,https://twitter.com/undipmenfess/status/1429395505893699586,undipmenfess,"-dips! Yang ikut kegiatan kampus merdeka terutama MSIB, ada yang punya wa/email PIC kampus kita gak? Klo tau tolong rep ya nanti ku ketuk lewat dm, thanks",0,0,0,0
38,2021-08-21 12:23:05+00:00,https://twitter.com/moriaqty/status/1429056460667817991,moriaqty,FAK MSIB CPEK BGT LIAT JISUNG,0,0,0,0
39,2021-08-21 03:01:18+00:00,https://twitter.com/vepnti/status/1428915082654715907,vepnti,Telat baru liat ada yang jual nendo riddle under sejuta msib lagi kalo gak salah,0,0,0,0
