,date,link,username,tweet,like,retweet,reply,qrt
0,2022-04-29 07:44:18+00:00,https://twitter.com/HSTodayMag/status/1519945658286977024,HSTodayMag,MSIB: Newly Published Technical Standard Addresses LED Radio Interference to Maritime VHF Radio and AIS https://t.co/TU5bj92T1H #hstoday,0,0,0,0
1,2022-04-29 03:36:02+00:00,https://twitter.com/boatconsulting/status/1519883178973876224,boatconsulting,MSIB: Suspension of USCG inspection fees for TSMS Option – Subchapter M Towing Vessels https://t.co/qedBjQHdtC,0,0,0,0
2,2022-04-28 19:50:39+00:00,https://twitter.com/Hohohollymin/status/1519766061163638785,Hohohollymin,ni msib ad yg bngun gk si,0,0,3,0
3,2022-04-28 18:51:48+00:00,https://twitter.com/AnnieDo52640257/status/1519751249905823747,AnnieDo52640257,"MSIB: Newly Published Technical Standard Addresses LED Radio Interference to Maritime VHF Radio and AIS: The Coast Guard urges manufacturers, installers and users of LED navigation lights, deck lights and other above-deck lighting to consider use of this standard.
The post MS ...",0,0,0,0
4,2022-04-28 17:38:02+00:00,https://twitter.com/thetvib/status/1519732687111565312,thetvib,Release of: MSIB 04-22 Suspension of TSMS Option User Fees https://t.co/TX2GPuo45G,0,0,0,0
5,2022-04-28 15:22:15+00:00,https://twitter.com/Bbyglvr_/status/1519698514766274560,Bbyglvr_,@cursedkidd hsil begal kmarin msib ad sisa,0,0,0,0
6,2022-04-28 14:29:20+00:00,https://twitter.com/lavorit/status/1519685197649768448,lavorit,MSIB open internship di kebun binatang keknya daftar,0,0,0,0
7,2022-04-28 10:38:24+00:00,https://twitter.com/CapcaTweet/status/1519627083634384896,CapcaTweet,USCG MSIB 03-22: Newly published technical standard addresses LED radio interference to maritime VHF radio and AIS: https://t.co/pmXl3xxBwb,1,0,0,0
8,2022-04-28 09:47:37+00:00,https://twitter.com/heeseungiie/status/1519614301593825280,heeseungiie,OH MSIB ADA,0,0,0,0
9,2022-04-28 05:53:17+00:00,https://twitter.com/latolatololl/status/1519555330510049281,latolatololl,"sangat bersyukur ETS MSIB lancar, dosennya baik beud, enak diajak kerjasama. Tidak seperti yg dikhawatirkan sbelumnya",0,0,0,0
