,date,link,username,tweet,like,retweet,reply,qrt
0,2021-12-30 17:35:44+00:00,https://twitter.com/Tatsumi9901/status/1476607951339020288,Tatsumi9901,"Udah latihan ngomong sendiri berkali-kali buat ngasih tau kalo UKT semester depan dari uang saku MSIB ke ortu, begitu liat reaksinya ..
Okeh yuk bisa semester depannya mandiri lagi.
:"")",1,0,0,0
1,2021-12-30 14:33:39+00:00,https://twitter.com/septidr_06/status/1476562129662603271,septidr_06,"Alhamdulilllah..
Setelah 3 bulan uang saku gak cair, akhirnya tahun baru ini langsng dirapel semuanya.
Banyak drama bgt elah, wfo nih boss beda pulau. Untung orang sini baik bgt, ngasih makan dan jg perhatiannya.

#msib #kampusmerdeka #uangsaku",3,1,2,0
2,2021-12-30 08:35:30+00:00,https://twitter.com/hu_beritapagi/status/1476471996020051968,hu_beritapagi,Bina Darma Jemput Mahasiswa Magang MSIB https://t.co/aq5XQRkQyy,0,0,0,0
3,2021-12-30 07:14:54+00:00,https://twitter.com/hmja_pnj/status/1476451713397575681,hmja_pnj,"lengkap dalat menyaksikan sosialisasi MSIB yang akan diselenggarakan pada: 

📆 Kamis, 30 Desember 2021 
⏰ 09.00-11.00 WIB 
📍 LIVE on Youtube : https://t.co/G5Xfcpsq7W

Narasumber : 

🗣 Nurhadi Irbath ( Ketua Sub Pokja MSIB Kampus Merdeka) 
🗣 Wikan Sakarinto ( Direktur",1,0,1,0
4,2021-12-30 07:14:03+00:00,https://twitter.com/hmja_pnj/status/1476451499400069121,hmja_pnj,"[ Sosialisasi Magang dan Studi Independen Bersertifikat Kampus Merdeka ]

Halo, PNJ-nesia!

Magang dan Studi Independen Bersertifikat (MSIB) merupakan program yang diadakan DIKTI untuk mahasiswa semester 5 (D3) dan semester 7 (D4).  

Untuk mengetahui informasi MSIB lebih https://t.co/ddRwXaBEXG",0,0,1,0
5,2021-12-30 05:50:09+00:00,https://twitter.com/collegemenfess/status/1476430385496002560,collegemenfess,"[cm] guyss mau tanyaa, yg kegiatan magang atau stud1 1ndependen-nya belom selesai (selesai januari), apa boleh ikut daftar MSIB batch 2? tia yg udah mau jawab yaa",0,0,0,0
6,2021-12-30 05:37:09+00:00,https://twitter.com/peachscent__31/status/1476427113473347586,peachscent__31,"menunggu keajaiban lolos msib lagi

atau bisa jadi malah keberuntungan gw dah abis di batch 1 Hhhhhh",0,0,0,0
7,2021-12-30 05:30:07+00:00,https://twitter.com/collegemfs/status/1476425343535751169,collegemfs,"[cm] guyss mau tanyaa, yg kegiatan stud1 1ndependen nya belom selesai (selesai januari), apa boleh ikut daftar MSIB batch 2? tia yg udah mau jawab yaa",0,0,0,0
8,2021-12-30 03:45:45+00:00,https://twitter.com/yovrjupiter/status/1476399078246260736,yovrjupiter,"@Ahmeddfp @collegemenfess Aku peserta MSIB 1 dan ini diobrolon gi grup telegram para peserta, dari hasil pemeparan kemendikbud",0,0,2,0
9,2021-12-30 02:55:44+00:00,https://twitter.com/yovrjupiter/status/1476386494566703104,yovrjupiter,"@Ahmeddfp @collegemenfess Batch 1 ada, cuman batch 2 katanya akan disamakan kaya Bangkit, gak ada uang saku. Nilai uang saku juga akan turun untuk MSIB.",0,0,2,0
