,date,link,username,tweet,like,retweet,reply,qrt
0,2023-02-27 23:32:51+00:00,https://twitter.com/Renaldasalwa/status/1630350276476403712,Renaldasalwa,"lagi ikut kegiatan MSIB, kegiatannya belum mulai temanku langsung bilang ""nanti kamu tanya di ini aja kalau ngga bisa"" HAHAHAHAH bukan apa"" sedih aja dengernya",0,0,0,0
1,2023-02-27 14:35:57+00:00,https://twitter.com/TheRocketFuture/status/1630215161633013761,TheRocketFuture,"Starbase test today: all the equipment under B7 = likely no B7 testing today. That leaves S26, or it could be something else entirely. No MSIB. Viewing conditions have been tough for streams, but should start to improve as the gulf heats up in coming weeks. No stream today.",13,2,1,0
2,2023-02-27 13:31:40+00:00,https://twitter.com/confeuse/status/1630198986614386688,confeuse,coba waktu itu msib nya ada yang penempatan surabaya huehuehue,0,0,0,0
3,2023-02-27 12:36:03+00:00,https://twitter.com/ANTARAJatim_/status/1630184989018165248,ANTARAJatim_,"Ratusan mahasiswa MSIB perkuat layanan adminduk di Surabaya
https://t.co/iXHAe5k3Hj",0,0,0,0
4,2023-02-27 12:05:00+00:00,https://twitter.com/ubsansfess/status/1630177176434753540,ubsansfess,Temen2 KIP ada yg ikut MSIB? Pencairannya telat kahh? braw!,0,0,0,0
5,2023-02-27 11:24:19+00:00,https://twitter.com/inamikro/status/1630166936700219393,inamikro,"Besok giliran tim Jakarta yang akan ikut training INAmikro x MSIB lho! Jangan lupa persiapkan dirimu untuk training besok ya, fokus!🤓",0,0,0,0
6,2023-02-27 10:47:54+00:00,https://twitter.com/BencoolenCoffe3/status/1630157773450383362,BencoolenCoffe3,"Hallo Bencooleeners 🙌

Bencoolen Coffee Kelapa Gading siap menjadi tempat belajar dan membentuk mahasiswa magang program MSIB kampus merdeka ""siap kerja, siap usaha, siap kreatif.""

📍 Bencooleen Coffee Kelapa Gading. https://t.co/TbZIvrVWnX",0,0,0,0
7,2023-02-27 10:02:14+00:00,https://twitter.com/GlyphiezKay/status/1630146278943522817,GlyphiezKay,"@collegemenfess nggak nder, kalaupun lebih biasanya tergantung prodi atau ada syarat syarat khusus agar bisa melebihi seperti nggak bisa konversi, padahal ikut msib, tapi diminta juga untuk ikut kelas sama prodinya, jdi maksimal buat dianya 44 - 48 sks.

tapi biasanya si nder, itu karna g pketan",0,0,0,0
8,2023-02-27 09:32:18+00:00,https://twitter.com/rrlxcv/status/1630138747433144321,rrlxcv,"alias magang di jakarta biar bisa ke teater, trims msib",0,0,0,0
9,2023-02-27 08:57:09+00:00,https://twitter.com/rachmanias_/status/1630129900756824064,rachmanias_,"@collegemenfess bisa. jd magang sama iisma kan beda waktu pelaksanaannya, nah jd km ikut msib, trs daftar iisma deh. max ikut progam gini2an 2x pokoknyaa",1,0,0,0
10,2023-02-27 08:46:17+00:00,https://twitter.com/dheameee1/status/1630127166326292481,dheameee1,"mau cerita jd di sems 5 ini baru kenal sm anak teknik baik bgttt, dikenalin temenku. sangkain selama kuliah gabakalan punya temen atau someone yk ky gini. aaakhh kuliah sisa 2 smester tp pas udh kenal orang baru malah dia keterima magang msib itu rasanyaaa🙂 https://t.co/jD7fy0FZgA",0,0,1,0
11,2023-02-27 08:30:06+00:00,https://twitter.com/iamjipel/status/1630123094357704704,iamjipel,mau magang lagi tp request msib hehe😬,0,0,0,0
12,2023-02-27 08:08:23+00:00,https://twitter.com/bumbumnyetnyet/status/1630117628328157185,bumbumnyetnyet,@dramaticalpause msib bang,0,0,2,0
13,2023-02-27 06:29:40+00:00,https://twitter.com/AGX15S/status/1630092786128265216,AGX15S,cari magang terdekat aja susah mulu apalagi sesuai jurusanku. jujurly aku gk lolos bgt di magang tadi yg mandiri apalagi msib,0,0,2,0
14,2023-02-27 05:24:06+00:00,https://twitter.com/KementerianESDM/status/1630076284893270016,KementerianESDM,"#KitaGerilya
#MagangBersertifikat
#MSIB
#EnergiTransisi
#SolarPV
#GenZ

@kesdm
@PPSDMKEBTKE
@ditjendikti
@nadiemmakarim
@djebtke
@usaidindonesia
@MagangMerdeka2",0,0,0,0
15,2023-02-27 05:23:35+00:00,https://twitter.com/KementerianESDM/status/1630076157151543296,KementerianESDM,"Siapkan dirimu menjadi saksi lahirnya pasukan transisi energi dalam

LAUNCHING GERILYA MSIB BATCH 4 yang diselenggarakan pada :
📆 : 1 Maret 2023
⏰ : 08.00 WIB - Selesai
📍 : Live Youtube KESDM

Semangat para Gerilyawan, kami tunggu perjuanganmu dalam transisi energi!",0,0,1,0
16,2023-02-27 05:23:19+00:00,https://twitter.com/KementerianESDM/status/1630076089635860480,KementerianESDM,"LAUNCHING GERILYA 

Hai Sobat (Transisi) Energi !!!

62 Mahasiswa Indonesia telah berhasil melewati tantangan dan rintangan hingga menjadi bagian dari program GERILYA (Gerakan Inisiatif Listrik Tenaga Surya) MSIB Batch IV. https://t.co/rkhGHg42FD",4,0,1,2
17,2023-02-27 04:52:28+00:00,https://twitter.com/yaampunnunutt/status/1630068324213329920,yaampunnunutt,"kok MSIB sih, kan harusnya IISMA yak wkwk 😫",0,0,0,0
18,2023-02-27 04:12:45+00:00,https://twitter.com/yaampunnunutt/status/1630058330801721344,yaampunnunutt,semalem mimpi sekolah di swiss apa ini pertanda aku bakal lolos MSIB,0,0,1,0
19,2023-02-27 03:16:20+00:00,https://twitter.com/sunatmetal/status/1630044131413327872,sunatmetal,Untungnya MSIB ada min semester yaitu semester 5 dan rata-rata paid,0,0,0,0
20,2023-02-27 02:41:28+00:00,https://twitter.com/kantahnganjuk/status/1630035356220366848,kantahnganjuk,"Pembukaan MSIB Angkatan IV Kementerian ATR/BPN, Menteri ATR/Kepala BPN Harapkan Dukungan untuk Percepatan Penyusunan RDTR

Cek berita selengkapnya https://t.co/MDP7KxYXLU

#KementerianATRBPN
#MelayaniProfesionalTerpercaya
#MenujuPelayananKelasDunia
Reposted from @atr_bpn https://t.co/c39LTNmpgm",0,0,0,0
21,2023-02-27 00:59:28+00:00,https://twitter.com/Lycheebuatkamu/status/1630009689508552705,Lycheebuatkamu,"@serendiviity Bumitama dia, magang msib",0,0,1,0
22,2023-02-26 22:26:59+00:00,https://twitter.com/halcyonhun/status/1629971316265873408,halcyonhun,mobilisasi msib gjlas bgt anjrit,0,0,1,0
