,date,link,username,tweet,like,retweet,reply,qrt
0,2022-01-30 22:19:59+00:00,https://twitter.com/sukeeeyooo/status/1487913508436328448,sukeeeyooo,"@collegemenfess Aku salpok sama wallpapernyaa😭😭😭, btw aku gatau MSIB tapi yaa semoga segera selesai ya nderr semangatt",0,0,0,0
1,2022-01-30 20:42:02+00:00,https://twitter.com/ayceeyha/status/1487888858725613568,ayceeyha,"Kalo dipikir2 Allah baik banget lo? KAYAK padahal dari SMP bayangin kerja di Bandung, trs pas sem. 5 kemarin hampir kesampaian tp masi gagal. Trs ga lama sem. 6 ini malah lolos msib LIKE WWOW 😭😭😭 ni padahal jarang berdoa astafiruloh haduh berdosaaaaa bgt 😭😭",1,0,1,0
2,2022-01-30 17:28:55+00:00,https://twitter.com/cudlicious/status/1487840258612146176,cudlicious,ni msib mulai tgl 1 sampai sekarang belom pengumuman dahla nyari loker beneran klo gini caranya,1,0,0,2
3,2022-01-30 15:14:20+00:00,https://twitter.com/collegemenfess/status/1487806390114856961,collegemenfess,gais kampus ku ga make sistem sks sempro jadi cuman ada sks skripsi aku ngerasa ketinggalan bgt sama temen yg beda kampus di tambah aku lagi ikut MSIB kampus merdeka batch 1 semoga tahun ini aku lulus ya [cm],2,0,2,1
4,2022-01-30 15:12:23+00:00,https://twitter.com/collegemenfess/status/1487805901599756291,collegemenfess,"Cape banget ribet masalah konversi MSIB, menghadeh🥲 [cm] https://t.co/tYLznvbBry",44,3,40,30
5,2022-01-30 12:50:11+00:00,https://twitter.com/MahasiswaUMS/status/1487770114632331265,MahasiswaUMS,"Umsfess- disini ada ga anak feb yg keterima MSIB kampus merdeka? Rep dong kalo ada mo nanya” atau like juga gapapa, makasih🙏🏻",1,0,0,0
6,2022-01-30 12:22:18+00:00,https://twitter.com/undipmenfess/status/1487763097683378178,undipmenfess,"-dips! mau tanyaaa yang ikut MSIB, kalo konversi ke 21 sks boleh gasiii soalnya nanggung kan ituu 7 matkul masing-masing 3 sks:(",0,0,0,1
7,2022-01-30 10:57:31+00:00,https://twitter.com/budakangst/status/1487741759882891266,budakangst,Per-msib-an bikin aku menglelah 😭🤌🏻,0,0,0,0
8,2022-01-30 10:45:29+00:00,https://twitter.com/unnesmenfess/status/1487738733135032320,unnesmenfess,"-ness yang ikut msib ada yang udah dapet kabar buat ngurus sptjm sama rekomendasi kampus? deadline udah mepet tapi belum ada kabar lagi dari pihak kampus, huhu",2,0,0,0
9,2022-01-30 09:54:15+00:00,https://twitter.com/collegemenfess/status/1487725841979424769,collegemenfess,[cm] ada gr0up tele buat msib gaa :( mau nyari temenn barengan,2,0,0,0
10,2022-01-30 09:45:06+00:00,https://twitter.com/UNYmfs/status/1487723535661690881,UNYmfs,buat temen-temen /UNY yang ikut magang kampus merdeka tahun ini jangan lupa gabung grup wa MSIB UNY yaaa! disini bakal banyak info karena ada dosen yang handle. yang mau join bisa reply aja nanti aku kirim linknya🥰 https://t.co/SricZLs6Oh,2,0,3,2
11,2022-01-30 08:40:22+00:00,https://twitter.com/unsrifess/status/1487707246264197121,unsrifess,"unsr! yang ikut MSIB, minta ttd untuk SPTJM nya ke rektorat ya?",0,0,0,0
12,2022-01-30 06:46:15+00:00,https://twitter.com/utfess/status/1487678528761962496,utfess,UT! Apakah ada yg ikut kampus merdeka? Apakah kita bisa minta ttd ke Wakil rektor? Soalnya SPTJM harus ditandatangani minimal wakil Rektor SPTJM (surat pertanggung jawaban Mutlak mahasiswa) untuk yang sudah dinyatakan lolos Magang dan Studi Independen Bersertifikat (MSIB),0,0,0,0
13,2022-01-30 04:50:13+00:00,https://twitter.com/collegemenfess/status/1487649326289457161,collegemenfess,Ada gak sih yang bermasalah waktu masukin tanggal periode buat MSIB? [Cm],2,0,2,0
14,2022-01-30 03:10:27+00:00,https://twitter.com/unsrifess/status/1487624219806474246,unsrifess,unsr! ado yang nk minta ttd wr3 dak untuk msib dak? rep dong nanti aku dm,0,0,0,0
15,2022-01-30 02:35:00+00:00,https://twitter.com/airlanggafess/status/1487615298211823619,airlanggafess,"halo rek -uner yang ikutan MSIB, mekanisme pengajuan ttd warek kemahasiswaan untuk SPTJM bisa melalui apa, ya? atau bisa wadek kemahasiswaan? Thank youu",1,0,1,0
16,2022-01-30 01:43:26+00:00,https://twitter.com/telyufess/status/1487602320469012480,telyufess,telyu! ges yg minta surat rekom ke fakultas buat msib dibalesnya brp lama? aku panik udh deket deadline tp gadibales bales:(,0,0,1,1
17,2022-01-29 14:53:30+00:00,https://twitter.com/angkaksara/status/1487438761109913600,angkaksara,"Alur birokrasi Unpad buat keperluan surat msib infonya ga jelas + ribet bgt deh harus ke a dulu, baru ke b, terus ke c, dst",1,0,0,0
18,2022-01-29 14:30:28+00:00,https://twitter.com/collegemenfess/status/1487432966280478727,collegemenfess,Ada yang tau gak MSIB di z3nius dapet dana atau engga? [Cm],0,0,0,0
19,2022-01-29 14:12:33+00:00,https://twitter.com/collegemenfess/status/1487428454920634368,collegemenfess,[cm] sekarang kalau ikut MSIB magang / studi independen emg butuh surat sptjm yg ditdd WR kemahasiswaan ya ?,0,0,3,0
20,2022-01-29 14:10:29+00:00,https://twitter.com/collegemenfess/status/1487427935560941573,collegemenfess,"[cm] boleh minta doanya? Katanya 40 doa bisa dikabulin, aku pengen banget dapet magang MSIB semoga aja dapet salah satu program yg aku daftarin aamiin. Semoga apapun yg kalian lakukan dilancarin yaa",2,0,4,0
21,2022-01-29 13:01:12+00:00,https://twitter.com/athdimsfdhr/status/1487410500669296641,athdimsfdhr,"@codingfess Pertimbangin resiko worse casenya nder

Karena kalo penempatannya di luar domisili, udah gitu uang sakunya ga nyampe umr, tetep bakal ngerepotin ortu...

Gua magang bukan yang MSIB, tapi magang bumn (masih masuk kampus merdeka) dan untungnya gaada skema telat2, tapi nyesel (cont)",3,0,1,0
22,2022-01-29 12:32:08+00:00,https://twitter.com/collegemenfess/status/1487403186625208320,collegemenfess,"[Cm] haloo temen temen, mau tanya dongg, disini ada gak yang ikut MSIB/MBKM  tapi ngga konversi sks/konversinya dipersulit sama kampus? Itu gapapa kah kaya gituu?",3,0,0,0
23,2022-01-29 12:21:21+00:00,https://twitter.com/undipmenfess/status/1487400471778119680,undipmenfess,-dips! Ada yg daftar program MSIB PT bukit Vista ga,0,0,2,0
24,2022-01-29 11:39:23+00:00,https://twitter.com/undipmenfess/status/1487389908612173829,undipmenfess,"-dips! Yang keterima program MSIB disuruh bikin SPTJM, itu minta ttd wakil rektor alurnya gimana ya?",0,0,0,1
25,2022-01-29 11:22:15+00:00,https://twitter.com/collegemenfess/status/1487385599703011331,collegemenfess,[cm] gais ada yg daftar msib dari lama tp bbelum dapet em4il samsek ga? :(,0,0,2,0
26,2022-01-29 11:13:06+00:00,https://twitter.com/undipmenfess/status/1487383295210192897,undipmenfess,"-dips! Ada yg keterima MSIB zenius machine learning gak yaaa, mau cari temen",0,0,1,0
27,2022-01-29 09:15:05+00:00,https://twitter.com/collegemenfess/status/1487353594424688640,collegemenfess,[cm] ada yang pernah ikut magang msib sambil skrisian ga? Itu pas mau bimbingan atau seminar gimana ya perizinannya? Makasih yang bantu jawab🙏 https://t.co/LU3DnWWJeM,1,0,0,0
28,2022-01-29 08:27:02+00:00,https://twitter.com/revoldd/status/1487341501780992002,revoldd,Udah fix ga keterima msib nih gue awokawok seengganya diubah dulu kek status pendaftarannya biar ngga nunggu :(,0,0,2,0
29,2022-01-29 07:35:08+00:00,https://twitter.com/schawberry/status/1487328441980825600,schawberry,mumet bgt ngurus berkas msib,1,0,0,0
30,2022-01-29 07:15:46+00:00,https://twitter.com/noviankus03/status/1487323570179313666,noviankus03,"@undipmenfess https://t.co/1H8RyvEMOk
 itu grup sharing"" yang ketrima MSIB batch 2",0,0,0,0
31,2022-01-29 06:17:04+00:00,https://twitter.com/undipmenfess/status/1487308797714386945,undipmenfess,-dips! ada yg udah dapet ttd warek untuk sptjm msib batch 2? atau ada ga sih grup msib seundip? boleh berbagi infonya ga ya? makasi,0,0,1,0
32,2022-01-29 06:03:19+00:00,https://twitter.com/UNSfess_/status/1487305336034050055,UNSfess_,-11fess halo adakah yg udah ngurus SPTJM buat msib?,0,0,0,0
33,2022-01-29 05:36:07+00:00,https://twitter.com/itskindatiwi/status/1487298491911061504,itskindatiwi,riweh bgt ngurusin berkas msib mana sekre warek senin wfh lagi😫😫,0,0,0,0
34,2022-01-29 04:36:28+00:00,https://twitter.com/ririputriiiii/status/1487283478203092992,ririputriiiii,"@BeMarked_as_Lee Mjb, klo km lulus sebelum MSIB selesai.. Uang saku yg udah di km bakal diminta untuk dibalikin walaupun km 0 konversi",0,0,1,0
35,2022-01-29 02:40:58+00:00,https://twitter.com/collegemenfess/status/1487254413861597186,collegemenfess,[cm] aku baru tau ada informasi update terkait SPTJM kemarin malem dari pihak mitra MSIB. ini mitra minta dikumpulin paling lambat sblm tgl 2 februari sedangkan 2 hari ini kan weekend. tgl 1 juga libur. ini aku boleh ga sih ngomong di gc MSIB fakultasku terkait update (cont),1,0,1,0
