,date,link,username,tweet,like,retweet,reply,qrt
0,2022-07-30 16:47:53+00:00,https://twitter.com/UNSfess_/status/1553422139859951617,UNSfess_,"-11fess Guys, yg daftar MSIB udh ada yg nyanyol offering/ketrima blm..? Bsk udh closing tp blm dpt hilal:((",1,0,0,0
1,2022-07-30 16:12:51+00:00,https://twitter.com/overtweeting_/status/1553413323068440581,overtweeting_,"fucking done with msib, next skripsian https://t.co/osMGglapmG",0,0,0,0
2,2022-07-30 15:45:59+00:00,https://twitter.com/hill3nana/status/1553406560327843840,hill3nana,@areuchive Kak aku mau nanyak tentang msib myskill boleh?,1,0,1,0
3,2022-07-30 15:20:00+00:00,https://twitter.com/airlanggafess/status/1553400020656828417,airlanggafess,"yang ga lolos msib, kalian nyari magang dimana?  -uner rekomendasiin dong",3,0,1,0
4,2022-07-30 15:14:25+00:00,https://twitter.com/bucenujun/status/1553398614747414528,bucenujun,"dah dah aku udah gak berharap masuk msib dah bye :(( aku ambil magang yg lain aja, bye :(((",0,0,0,0
5,2022-07-30 15:00:16+00:00,https://twitter.com/Askrlfess/status/1553395056555732992,Askrlfess,[askrl] Gais yang keterima msib di kalla group kira2 tempat kost yang deket wisma kalla yang bagus apa ya?,0,0,0,0
6,2022-07-30 14:53:32+00:00,https://twitter.com/collegemenfess/status/1553393358608875520,collegemenfess,[cm] Gais yang keterima msib di kalla group kira2 tempat kost yang deket wisma kalla yang bagus apa ya?,1,0,0,0
7,2022-07-30 14:06:41+00:00,https://twitter.com/Kyourakuuu/status/1553381569926033414,Kyourakuuu,@convomf gue panik msib yg gua pengenin blm ada kabar pengumuman.,0,0,0,0
8,2022-07-30 13:36:34+00:00,https://twitter.com/ca6min/status/1553373992832028672,ca6min,no offense but keterima msib actually sucks,1,0,1,0
9,2022-07-30 13:32:43+00:00,https://twitter.com/collegemenfess/status/1553373023994249218,collegemenfess,[cm] biasanya pendaftaran msib atau kampus mengajar gitu ditutup jam brp ya?,0,0,1,0
