,date,link,username,tweet,like,retweet,reply,qrt
0,2022-06-29 19:46:49+00:00,https://twitter.com/saditsover/status/1542233142425456640,saditsover,"@lavenderstreaks @collegemenfess Mbb, di Instagram offc. MSIB. Pantengin aja instastorynya nnti bakal ada info link zoomnya",0,0,0,0
1,2022-06-29 19:18:41+00:00,https://twitter.com/KirkA1984/status/1542226065283858432,KirkA1984,In todays episode of “I’m a mug who will drop money on any old tat with the right logo on it”… I give you A four pack of Dark of the Moon tissues…(MSIB) https://t.co/PQ6dDzfkfS,7,0,0,0
2,2022-06-29 17:31:47+00:00,https://twitter.com/collegemenfess/status/1542199162267004928,collegemenfess,[cm] magang dan studi independen (msib) tu udah ttp belum ya?,0,0,2,0
3,2022-06-29 17:21:48+00:00,https://twitter.com/collegemenfess/status/1542196649656737792,collegemenfess,"[Cm] butuh saran dong, kan aku lagi mau daftar msib yah, tapi ipk yg keliatan diweb msib gak sesuai sama punya ku yang asli, lebih rendah 0,1. Udah nanya sama admin prodi tapi gak dapet jawaban. Kata kalian lanjut daftar aja atau gimana? Ipknya masih diatas 3.5. Makasihhh",3,0,3,0
4,2022-06-29 17:13:15+00:00,https://twitter.com/confeuse/status/1542194498998239232,confeuse,motivasi lain berharap dapet msib di jakarta adalah biar bisa refreshing nonton konser ☹️,0,0,0,0
5,2022-06-29 17:07:26+00:00,https://twitter.com/collegemenfess/status/1542193033361620994,collegemenfess,"[cm] mau nanya nih, kalian yang dr jurusan pendidikan ada yg pernah ikut/baru daftar msib ga? TIA",3,0,2,0
6,2022-06-29 16:17:46+00:00,https://twitter.com/its_fess/status/1542180533970542593,its_fess,its/ mbak mas yg mau ikut msib untuk sptjm berarti harus minta ttd offline kah ke kaprodi?,2,0,1,0
7,2022-06-29 14:01:51+00:00,https://twitter.com/undipmenfess/status/1542146332143812610,undipmenfess,Guys ada yg mau daftar MSIB Batch 3? Ini buat SPTJM nya gimana yaa? Katanya dulu dikolektif BEM U -dips!,3,0,0,0
8,2022-06-29 13:45:09+00:00,https://twitter.com/collegemenfess/status/1542142125776982018,collegemenfess,[cm] gais kan agustus aku baru masuk semester 5 nah udh boleh daftar MSIB blm sih?,1,0,1,0
9,2022-06-29 13:39:28+00:00,https://twitter.com/DraftAnakUnpad/status/1542140697838555137,DraftAnakUnpad,- gais kan agustus ntr baru masuk semester 5 itu udh boleh daftar msib blm?,0,0,1,0
10,2022-06-29 13:31:32+00:00,https://twitter.com/collegemenfess/status/1542138701769486336,collegemenfess,"[cm] guys jadi aku dari tekkim mau nyoba msib di semester 7, tapi matkul semester 7ku berkaitan bgt buat TA nanti. menurut kalean yay or nay ya buat apply misb?",0,0,1,0
11,2022-06-29 12:59:35+00:00,https://twitter.com/HMTKundip/status/1542130659237318656,HMTKundip,"[PENDAFTARAN MSIB BATCH 3]

Salam sejahtera, warga Teknik Kimia!

MSIB atau Magang dan Studi Independen Bersertifikat merupakan salah satu program kampus merdeka yang dapat diikuti oleh mahasiswa minimal semester 5 yang berada di bawah naungan kemendikbudristek. https://t.co/JyMgJN09RP",0,0,1,0
12,2022-06-29 11:53:01+00:00,https://twitter.com/milkyaddict_/status/1542113906348675073,milkyaddict_,"@UPIfess ada yang di bandung, temenku ikut di perusahaan punya alumni lewat program msib, dan perusahaannya di bandung",0,0,0,0
13,2022-06-29 11:51:22+00:00,https://twitter.com/UPIfess/status/1542113491666214915,UPIfess,"mau nanya dong kang/teh !upi yang pernah ikut magang msib taun sebelumnya, di daftar perusahaan itu ada perusahaan yang di bandung ngga? atau kebanyakan emang diluar bandung ya? :(",0,0,3,0
14,2022-06-29 11:19:22+00:00,https://twitter.com/BebekTerbangS/status/1542105440750043136,BebekTerbangS,Msib sleksinya ribet juga y,0,0,0,0
15,2022-06-29 11:15:16+00:00,https://twitter.com/Yourwinterbr/status/1542104409978466304,Yourwinterbr,@Yalnovschki @collegemenfess Oh itu aku abis msib jadi rencananya mau masukin sertifikasi program ke linkedin,0,0,0,0
