,date,link,username,tweet,like,retweet,reply,qrt
0,2022-03-30 15:54:57+00:00,https://twitter.com/RadioElshinta/status/1509197496337453056,RadioElshinta,"Sekretariat Jenderal DPR RI melakukan sosialisasi Program Magang dan Studi Independen Bersertifikat (MSIB) yaitu ""Magang di Rumah Rakyat DPR RI Tahun 2022"" di Universitas Udayana, Bali, Selasa, 29 Maret 2022. 
via @DPR_RI 
https://t.co/Rj22QnidP4",0,0,0,0
1,2022-03-30 14:37:09+00:00,https://twitter.com/tobxzy/status/1509177918974734337,tobxzy,Mana uang saku msib diundur2 mulu. Nunggu cair uang beasiswa juga masi lama.,0,0,1,0
2,2022-03-30 12:23:54+00:00,https://twitter.com/DPR_RI/status/1509144385891737603,DPR_RI,"Sekretariat Jenderal DPR RI melakukan sosialisasi Program Magang dan Studi Independen Bersertifikat (MSIB) yaitu ""Magang di Rumah Rakyat DPR RI Tahun 2022"" di Universitas Udayana, Bali, Selasa, 29 Maret 2022. 

#SetjenDPR #MagangDiRumahRakyat https://t.co/dRXenDf28E",5,0,5,0
3,2022-03-30 09:35:57+00:00,https://twitter.com/dwigantoro_/status/1509102120632389634,dwigantoro_,buat kelakuan panitia msib https://t.co/qcu7snrSZg,0,0,1,0
4,2022-03-30 08:42:40+00:00,https://twitter.com/Iejournaldenini/status/1509088707609268227,Iejournaldenini,"kenapa ya admin lembaga negara kalo ngikutin trend kesannya malah sok asik
contohnya admin msib",0,0,0,0
5,2022-03-30 06:23:12+00:00,https://twitter.com/rizkytaxx/status/1509053610394787840,rizkytaxx,"skrg gini dah, karena MIMINnya menginfokan bahwa pendanaan akan cair akhir bulan Maret, we'll see besok apakah info yg mereka kasih itu valid atau cuman jadi lagu nina bobo buat nenangin para mahasiswa MSIB..",0,0,1,0
6,2022-03-30 06:23:11+00:00,https://twitter.com/rizkytaxx/status/1509053608729677831,rizkytaxx,"Channel telegram ""Official Account MSIB"" pun rasanya belum jadi sumber informasi yg efisien karna adminnya yg kurang responsif dan BISA JADI, dia juga kekurangan info dari atas. so what are we expecting?",0,0,1,0
7,2022-03-30 02:39:50+00:00,https://twitter.com/DPR_RI/status/1508997400417140747,DPR_RI,"Pusdiklat Sekretariat Jenderal DPR RI melakukan sosialisasi Program Magang dan Studi Independen Bersertifikat (MSIB) yaitu ""Magang di Rumah Rakyat DPR RI Tahun 2022"" di Universitas Mataram, Nusa Tenggara Barat (NTB), Selasa, 29 Maret 2022.  #SetjenDPR #MagangDiRumahRakyat https://t.co/5MS4hlrSso",3,0,0,0
8,2022-03-30 02:17:20+00:00,https://twitter.com/yoloyeyo/status/1508991735166550018,yoloyeyo,@collegemenfess sedih sih denger msib batch 2 ini,0,0,0,0
9,2022-03-29 23:29:42+00:00,https://twitter.com/ShitiKhotimah1/status/1508949550702407680,ShitiKhotimah1,"@KampusMerdeka @KampusMerdekaRI Ancurrr MSIB batch 2 .. Lebih parah .. Bukan memperbaiki tapi tambah gak jelas.
Pemberangkatan di undur udah menuju 2bulan , tetep aja gak ada gerak.
#msibkerjarodi",3,1,0,0
