,date,link,username,tweet,like,retweet,reply,qrt
0,2022-05-30 22:53:38+00:00,https://twitter.com/AnnieDo52640257/status/1531408521358606338,AnnieDo52640257,"MSIB: Atlantic Hurricane Season 2022 Alert: The COTP will assess status of the waterways and port infrastructure and prioritize maritime transportation system recovery effort.
The post MSIB: Atlantic Hurricane Season 2022 Alert appeared first on Hstoday. https://t.co/Fa3NQVJq1x",0,0,0,0
1,2022-05-30 17:30:23+00:00,https://twitter.com/itskindatiwi/status/1531327173314809856,itskindatiwi,"@epsidoermi @collegemenfess ikut msib ajaaa cari yang full wfh jadinya kalo ada kuliah offline masi bisa di handle, tp bakal pusing bgt si jujur wkwkw. iyaww sama sama^^",0,0,0,0
2,2022-05-30 17:05:04+00:00,https://twitter.com/itskindatiwi/status/1531320803232403456,itskindatiwi,"@epsidoermi @collegemenfess tetep, gue kuliah 1 matkul offline 1 matkul offline. kalo misalkan dapet konversi full sks keknya ga kuliah deh, kmrn kaprodi gue jg ga ngizinin ambil matkul sebenernya biar full konversi tp kita yg ikut msib kekeh mau ambil metlit sm english 2 jadiny kuliah 6sks sisany konversi",0,0,1,1
3,2022-05-30 14:00:54+00:00,https://twitter.com/collegemenfess/status/1531274456940720128,collegemenfess,"[Cm] mau tanya dong yang paham. Udah cari berkali-kali masih ga ngerti

Magang kampus merdeka tuh skrg jadi satu sama Stupen, diganti dengan MSIB yaa? Trus kalo yg kemarin ikut magang ada yg pernah ikut KMMI juga dalam 1 waktu gaa? Apa diperbolehkan?",3,0,0,0
4,2022-05-30 10:00:40+00:00,https://twitter.com/addictoyou__/status/1531213998670381057,addictoyou__,Sampai ada teman kami yang terlilit hutang dan juga nunggak membayar kost. Kami sangat mengharapkan uang saku yg dijanjikan oleh MSIB ini. Kami berani pergi merantau ke kota orang karema telah dijanjikan uang saku yg dimana itu akan kami gunakan untuk biaya hidup disini,2,1,1,0
5,2022-05-30 10:00:33+00:00,https://twitter.com/billandsky/status/1531213969951948802,billandsky,"Hai, aku Billa dari Bali. Saya sebagai Alumni dari program MSIB. Saya mendukung adanya komunitas Alumni Kampus Merdeka Bergerak untuk membantu teman-teman dalam memahami program Kampus Merdeka dari Kemendikbud.
#AlumniKampusMerdekaBergerak #PemudaPelajarMerdeka #Pembelakan1AKMB https://t.co/ViqQ4QRtSA",0,0,0,0
6,2022-05-30 07:56:35+00:00,https://twitter.com/MSIBINDONESIA/status/1531182770697162753,MSIBINDONESIA,@nadiemmakarim MSIB MASIH BELUM LAYAK!,0,0,0,0
7,2022-05-30 02:21:24+00:00,https://twitter.com/uwg_malang/status/1531098418822914048,uwg_malang,"Untuk Meningkat Kompetensi Mahasiswa, Pusat Pengembangan Karir (PPK) UWG melalui Dana CSR Magang BUMN PMMB/MSIB PT. PLN (Persero) Mengadakan berbagai kegiatan workshop sebagai persiapan Magang BUMN maupun Dunia Kerja nantinya. 

#bumnindonesia #ppkuwg #plnudplpandaan
#mhsuwg https://t.co/MBn7ErhVDv",0,0,0,0
8,2022-05-30 00:07:46+00:00,https://twitter.com/bagindaratuofc/status/1531064789543550976,bagindaratuofc,"Ya Allah mau duit MSIB 🥲

Kapan cair siiihh? :"")",0,0,0,0
9,2022-05-29 12:32:57+00:00,https://twitter.com/UGM_FESS/status/1530889932973019138,UGM_FESS,"Adakah yang tertarik magang bersertifikat dari Kemendikbud??? ugm_fess

Nah, kebetulan IMAGAMA FEB UGM bersama KAMPUS MERDEKA MSIB mengadakan acara webinar pengenalan lebih dekat Magang dan Studi Independen Bersertifikat (MSIB).

Link Registrasi: DI KOLOM REPLY‼️‼️ https://t.co/ZRXSgBk3hQ",16,6,0,2
