,date,link,username,tweet,like,retweet,reply,qrt
0,2022-11-29 12:51:43+00:00,https://twitter.com/Afif_Prinamudya/status/1597574023751565314,Afif_Prinamudya,"@collegemenfess Ikut satu organisasi aja di awal smster rekomendasi ku BEM/HMJ, trus gausah ikut lgi dan upgrade skill di smster 3/4 , di smster 5&amp;6 kmu ikut MSIB kampus merdeka konversi 40 sks, smster 7 tinggal skripsi,kkn,dll",2,0,0,0
1,2022-11-29 11:12:18+00:00,https://twitter.com/syahla91/status/1597549003193069569,syahla91,@deviruhi @ratnapalupi400 @cemburu_pororo Mau jingkrak tapi msib sieun bom meledak 😂 c Andra ngaganggu wae as alya  ge sarua resep nateh ngaganggu 😂,0,0,1,0
2,2022-11-29 10:34:24+00:00,https://twitter.com/DraftAnakUnpad/status/1597539467577135106,DraftAnakUnpad,- yang ikut MSIB kampus merdeka masih sehat?,0,0,1,0
3,2022-11-29 09:42:42+00:00,https://twitter.com/whitecIover_/status/1597526455562670082,whitecIover_,"Plz msib cair dong, biar w bisa pake ni privilege 🥲 https://t.co/m91ducoq40",0,0,0,0
4,2022-11-29 08:16:17+00:00,https://twitter.com/undipmenfess/status/1597504710810161152,undipmenfess,"-dips! PLIS BGT SIAPAPUNNNNNNNNNNN yg info oper kosan komen di sini aja, aku bener2 blm dpt kosan ini loh T.T krn aku lg msib jd cabut kosan huhuhuhu",0,0,6,0
5,2022-11-29 08:13:20+00:00,https://twitter.com/txtdariagata/status/1597503966841311232,txtdariagata,@Twmbokberlin kak plis bgt ke aku ya aku belum dpt kosan samsek krn aku MSIB di jkt huhuhuhuhu Desember harus ke smrg kak 😭🙏🙏🙏🙏,0,0,0,0
6,2022-11-29 07:25:34+00:00,https://twitter.com/TelUniversity/status/1597491947106717701,TelUniversity,[LIVE] MSIB Fair 2022 - Digital Talent and Innovation https://t.co/YEiEtbCtuN,0,0,0,0
7,2022-11-29 07:06:29+00:00,https://twitter.com/txtdariagata/status/1597487145249542145,txtdariagata,@undipmenfess nder boleh ke aku gak:(((( aku samsek blm punya kosan krn ikut MSIB di jakarta,0,0,0,0
8,2022-11-29 06:59:44+00:00,https://twitter.com/UPIfess/status/1597485446598361090,UPIfess,"!upi Ada yang ikutan MSIB batch 2? Boleh liat contoh laporan akhirnya gak buat referensi? Yang berkenan, reply atau like ya nanti aku DM. Makasi banyak sebelumnya! Semoga yang berkenan membantu menjadi berkah, Aamiiin.",2,0,0,0
9,2022-11-29 03:38:38+00:00,https://twitter.com/irgisalsad/status/1597434835429388288,irgisalsad,@sapidanpinguin @sadzilidika @rhnflumar join msib,0,0,1,0
10,2022-11-29 00:10:07+00:00,https://twitter.com/StarbaseInfos/status/1597382362790248448,StarbaseInfos,"Infos @NASASpaceflight : 
🇺🇸 Road open! Next closure: Tuesday 8 AM to 8 PM. !MSIB issued for Tuesday.",0,0,0,0
11,2022-11-28 16:20:20+00:00,https://twitter.com/__moonglade/status/1597264135246729217,__moonglade,"Gigih 3.0 bakal buka nih, semoga ga gabung msib",0,0,0,0
12,2022-11-28 13:21:44+00:00,https://twitter.com/drafskripsi/status/1597219189017939974,drafskripsi,liat MSIB fair aja lah ya. sedikit mengobati penyakit worrying my future,0,0,1,0
13,2022-11-28 12:18:21+00:00,https://twitter.com/txtdariagata/status/1597203238893531136,txtdariagata,@horangthehao @undipmenfess kak plis kasih aku plis plis plis aku lagi MSIB jd di semarang belum samsek ada kosan Desember udah harus ke semarang lg PLIS AKU SUJUD MOHON,46,0,3,0
14,2022-11-28 11:56:13+00:00,https://twitter.com/aetherrspace/status/1597197668765544449,aetherrspace,"@depongambis @worksfess kalo akuuu masih mahasiswa jadi ikutan msib, trs nyarinya yg daring.

terus suka nemu di linkedin sih.. bisa di filter yg lokernya remote/hybrid gitu",0,0,1,0
15,2022-11-28 10:35:27+00:00,https://twitter.com/MEJABOONDAR/status/1597177342098833409,MEJABOONDAR,@unsrifess Kmrn kulon sih jd enak bisa jalan 22nya msib iya kuliah iya gtw klo skrg takutnya kuliah offline trus msib juga offline,0,0,1,0
16,2022-11-28 08:40:01+00:00,https://twitter.com/verindap_/status/1597148293116874752,verindap_,"@worksfess Kuliah aja kak, bootcamp bisa ikut MSIB kalo udah jadi mahasiswa Dan gratis",0,0,0,0
17,2022-11-28 06:35:42+00:00,https://twitter.com/ipb_menfess/status/1597117009321263106,ipb_menfess,punten disini ada yang pernah msib di bpjs kesehatan? kalau ada mau nanya-nanya,0,0,0,0
18,2022-11-28 06:35:12+00:00,https://twitter.com/collegemenfess/status/1597116883768995841,collegemenfess,[cm] disini ada yang pernah msib di bpjs kesehatan? kalau ada mau nanya-nanya,0,0,1,0
19,2022-11-28 06:24:31+00:00,https://twitter.com/luviesmart/status/1597114194654277632,luviesmart,lmtb digipack ot5 dong ada ga yg msib open?,0,0,7,0
20,2022-11-28 05:04:39+00:00,https://twitter.com/amelie_lunaa/status/1597094095653986306,amelie_lunaa,"@tanyarlfes skripsian bareng kegiatan msib yg mitranya ngasih tugas literally tiap hari, belom sorenya yg aku harus gantiin jaga toko dan gabisa kalo disambi laptopan. stress iyaa keteteran iyaa drop iyaa",0,0,0,0
21,2022-11-28 04:01:29+00:00,https://twitter.com/Unsoedfess1963/status/1597078200081076224,Unsoedfess1963,jends MSIB Kampus Merdeka tu dapet insentifnya berapa yaa cukup buat ngecover transport dan makan ga?,0,0,0,0
22,2022-11-28 01:55:13+00:00,https://twitter.com/IdiotssR/status/1597046421672247296,IdiotssR,"Cepatlah diproses. Biar aku tidak seret 😭
#Kampusmerdeka #Batch3 #MSIB #MBKM https://t.co/UXKrGj7LkG",0,0,0,0
23,2022-11-28 01:07:31+00:00,https://twitter.com/confeuse/status/1597034420497940480,confeuse,@ msib bleh gak gajinya ditrf skrg 🥹🙏🏼,0,0,0,0
24,2022-11-27 15:17:40+00:00,https://twitter.com/collegemenfess/status/1596885975849762816,collegemenfess,Msib apakah dibuka buat smt genap? Spill dong infonya. [Cm],0,0,0,0
