,date,link,username,tweet,like,retweet,reply,qrt
0,2021-10-30 12:13:49+00:00,https://twitter.com/wagemuhamad/status/1454421279029686274,wagemuhamad,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi: Tolong Segera Realisasikan Beasiswa Peserta MBKM MSIB Angkatan Ke-1 - Tandatangani Petisi! https://t.co/geK6dc6JGl via @ChangeOrg_ID",0,0,0,0
1,2021-10-29 23:24:22+00:00,https://twitter.com/sunflobby/status/1454227641939087363,sunflobby,"@collegemenfess Hmm ada baiknya tidak share nominal sepertinya ini, akan mengundang rasa iri dan sedih buat peserta MSBI lain bahkan yang gak lolos MSIB",0,0,0,0
2,2021-10-29 17:12:49+00:00,https://twitter.com/rosecoloredgvrl/status/1454134136411615234,rosecoloredgvrl,@MagangStudi segera cairkan uang saku msib termasuk mahasiswa vokasi 🙏,1,0,0,0
3,2021-10-29 15:04:28+00:00,https://twitter.com/kiranaaugust/status/1454101837762613254,kiranaaugust,@radenrauf Uang saku msib udah cair try😭😂,0,0,1,0
4,2021-10-29 14:11:40+00:00,https://twitter.com/pacinoisseur/status/1454088547992936451,pacinoisseur,"Baru nyadar, ternyata emg Twitter ini impression dan reach-nya kenceng banget ya 🤣

2 tweet teratas yang tak tulis tentang CEO Campuspedia sama komentar di IG Ketua Pelaksana MSIB ini udah tembus lebih dari 70k &amp; 200k 😳

Padahal yang RT sama like juga ga nyampe 1000an deh...",0,0,0,0
5,2021-10-29 13:47:42+00:00,https://twitter.com/theBLEKEH/status/1454082516516683783,theBLEKEH,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi: Tolong Segera Realisasikan Beasiswa Peserta MBKM MSIB Angkatan Ke-1 - Tandatangani Petisi! https://t.co/jx6QZC1BsV via @ChangeOrg_ID",0,0,0,0
6,2021-10-29 11:40:09+00:00,https://twitter.com/andaeriel/status/1454050419815030789,andaeriel,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi: Tolong Segera Realisasikan Beasiswa Peserta MBKM MSIB Angkatan Ke-1 - Tandatangani Petisi! https://t.co/e6X25QQmwT via @ChangeAUS",0,0,0,0
7,2021-10-29 11:29:12+00:00,https://twitter.com/justfitttttt/status/1454047664237015044,justfitttttt,"Kaget banget uang saku msib sama kaya gajih mama ku sebulan, alhamdulillah",0,0,0,0
8,2021-10-29 11:07:08+00:00,https://twitter.com/etnomenignotum/status/1454042108059271168,etnomenignotum,"@fargranth @tubirfess catatan ketiga: 

jika tunduk sama UU Ketenagakerjaan artinya MSIB itu bukan magang akademis dong, (ini kembali ke konteks MSIB), karena toh magang akademis ga tunduk sama UU Ketenagakerjaan dan Permaneker 6 tersebut. 

terakhir, negara melalui Kemendikbud malah kaya jadi vendor.",1,0,1,0
9,2021-10-29 10:59:27+00:00,https://twitter.com/etnomenignotum/status/1454040178025136139,etnomenignotum,@fargranth @tubirfess catatan lain kedua: untuk MSIB pemerintah tetap memberlakukan UU Ketenagakerjaan dan Permenaker di atas jadi posisi magang kerja dan MSIB itu sama padahal uang saku MSIB yang subsidi adalah Kemendikbud (?) apa artinya perusahaan ga bayar atau uang sakunya doube?,0,0,1,0
10,2021-10-29 10:56:46+00:00,https://twitter.com/etnomenignotum/status/1454039502276550662,etnomenignotum,"@fargranth @tubirfess btw, mungkin gue keliru juga kalau sendari awal gue kaya ngebahas MSIB padahal ga ada kaitannya dengan menfess di atas,ok, poinnya di soal magangnya. 

catatan lain: Permanker Nomor 6 Tahun 2020 itu mulai berlaku 9 April 2020, sedangkan kata mereka PINALTY itu berlaku saat....",0,0,1,0
11,2021-10-29 10:39:14+00:00,https://twitter.com/etnomenignotum/status/1454035090191761414,etnomenignotum,"@borvoyage @tubirfess kalau bukan MSIB &amp; it program perusahaan sendiri, ya artinya tetap tunduk sama Permenaker Nomor 6 Tahun 2020, ga ada aturan PINALTY karena pengunduran diri sepihak juga di dalamnya mengingat bagian lampiran Permenaker itu menyusun bagaimana kontrak magang yang baik dan benar.",2,0,0,0
12,2021-10-29 10:28:09+00:00,https://twitter.com/etnomenignotum/status/1454032300534996997,etnomenignotum,@fargranth @tubirfess karena jelas diaturan kita di Permenaker di atas ga perbolehin pserta magang dirugikan dalam hal ini dan mampu mengakomodasi kepentingan peserta magang baik magang kerja dan MSIB di atas untuk tidak dirugikan karena perjanjian yang disusun keliru dan ga berdasarkan hukum.,0,0,1,0
13,2021-10-29 10:20:01+00:00,https://twitter.com/borvoyage/status/1454030252267630600,borvoyage,"@etnomenignotum @tubirfess Kenapa jadi disangkutkan sama MSIB? Campuspaedi programnya sendiri, MSIB juga program Kemdikbud sendiri. Campuspaedi gak jadi mitra MSIB juga.",0,0,1,0
14,2021-10-29 10:02:42+00:00,https://twitter.com/etnomenignotum/status/1454025894096367616,etnomenignotum,"@fargranth @tubirfess singkat aja, perjanjian menurut KUHPerdata itu ada dua kan? yang lahir karena persetujuan dan karena Undang-Undang. konteks di atas soal magang kerja dan MSIB ya itu artinya perjanjiannya timbul oleh karena undang-undang, based on-nya UU dong.",0,0,1,0
15,2021-10-29 09:40:13+00:00,https://twitter.com/etnomenignotum/status/1454020237204987912,etnomenignotum,"@tubirfess catatan: 

1. kalau ini konteksnya Program Magang dan Studi Independen Bersertifikat (MSIB) terkait uang saku dan biaya hidup selama magang yang subsidi itu Kemdikbud; 

2. kemudian ada yang namanya Mitra Industri dan Dunia Kerja (IDUKA) yang antra lain:",25,2,3,0
16,2021-10-29 09:20:33+00:00,https://twitter.com/wwhitepillow/status/1454015286609207297,wwhitepillow,@collegemenfess Wah parah bgt. Kamu msib?,0,0,0,0
17,2021-10-29 07:57:30+00:00,https://twitter.com/lifehauy/status/1453994385301856258,lifehauy,@Syifaaamh @collegemenfess Oh iya lupa konteks. Ini program pemerintah kampus merdeka. Msib atau magang studi independen bersertifikat klo gasasalh. Emang ditargetin untuk anak2 kuliah. Jadi dibayar ama pemerintah magangnya.,0,0,0,0
18,2021-10-29 07:55:27+00:00,https://twitter.com/lifehauy/status/1453993872187527178,lifehauy,"@Syifaaamh @collegemenfess Tergantung perjanjian kak. Kalau yang di thread ini tuh bahas magang msib dan janjinya yg bayar pemerintah. Kalau kp unpaid, hak kita buat terima atau mundur kerjanya. Apalagi itu udah fulltime. Tapi susah sih kalau mundur di tengah2. Jadi, hati2 kak kalau gaada kontrak di awal.",0,0,0,0
19,2021-10-29 05:34:31+00:00,https://twitter.com/lifehauy/status/1453958404783833094,lifehauy,"@friendofxanax @MagangStudi Kita udah dijanjiin dibayar. Kalau unpaid, apakah semua anak2 daerah yg magang di msib mau ngeluarin banyak biaya sampai minjem untuk bayar kos di tengah kota dan juga uang pesawat? Gak semua bisa bayar kayak gitu. Pasti ada pertimbangan bnyk klo awalnya dibilang unpaid",22,0,2,0
20,2021-10-29 04:35:35+00:00,https://twitter.com/escrlaperoom/status/1453943571728400391,escrlaperoom,..ckck gaji MSIB..,0,0,1,0
21,2021-10-29 04:31:14+00:00,https://twitter.com/aerio_setiadi/status/1453942477019250689,aerio_setiadi,@anteraja_id paket saya dari tgl 26 smpe skrang tgl 29. Msih belum sampe2. Pdahal msib jakarta bekasi.,0,0,1,0
