,date,link,username,tweet,like,retweet,reply,qrt
0,2021-09-29 18:15:56+00:00,https://twitter.com/USCGHeartland/status/1443278384616857602,USCGHeartland,"UPDATE: @USCG Captain of the Port for Houma, LA issued MSIB (36-21) today with the latest waterway information as the region continues to recover from #HurricaneIda: https://t.co/UUtLCQavPq (1/3)",4,1,1,0
1,2021-09-29 13:58:02+00:00,https://twitter.com/haikerja/status/1443213483206606849,haikerja,"Jawatan Kosong MSIB Corporate Consultancy Sdn. Bhd.
.
Jawatan Kosong sebagai :-
1. ACCOUNTING AND TAXATION SERVICES CONSULTANT
Gaji : RM2,300 - RM2,500
.
Tarikh tutup : 21 Okt 2021
.
Maklumat lanjut permohonan, sila klik link yang disediakan ini : https://t.co/WODIM1JeGv",2,0,0,0
2,2021-09-29 03:20:00+00:00,https://twitter.com/JapanMerchFess/status/1443052917427109896,JapanMerchFess,"!lapakjpwts nendoroid sesshomaru msib 700k ex admin sama ongkir
Bisa marketplace kalau mau 👍",0,0,0,0
3,2021-09-28 07:22:51+00:00,https://twitter.com/applepivee/status/1442751645087981572,applepivee,@JapanMerchFess up satu juta :) apalagi kalo msib,0,0,0,0
4,2021-09-27 16:35:00+00:00,https://twitter.com/kurakurroya/status/1442528210399334408,kurakurroya,"@jeongwoomfs pap, msib ada di bawahnya juga'-' https://t.co/PqooS0Aoox",0,0,0,0
5,2021-09-26 17:26:28+00:00,https://twitter.com/istriosamu/status/1442178774938783753,istriosamu,@marvelholic @JapanMerchFess ready ina bib atau msib kak? -s,0,0,1,0
6,2021-09-26 15:03:01+00:00,https://twitter.com/afif68593076/status/1442142673398231045,afif68593076,"@barcastuff_idn nah klo smngt gini enak,taktik msib agak hancur tpi perlahan2 udh mulai berubah,mainya ngepress trs dri dpn",0,0,0,0
7,2021-09-25 22:25:51+00:00,https://twitter.com/USCGHeartland/status/1441891726587740162,USCGHeartland,"UPDATE: @USCG Captain of the Port for Houma, LA issued MSIB (35-21) today, which includes the most current waterway status as the region continues to recover from #HurricaneIda: https://t.co/uXp7imkINq",3,1,1,0
8,2021-09-25 14:47:06+00:00,https://twitter.com/miredoyeaah/status/1441776277057257472,miredoyeaah,"gitar (?)
gatau msib bisa apa ngga udh lama ga megang",0,0,0,0
9,2021-09-25 13:29:05+00:00,https://twitter.com/niscayabulan/status/1441756644501643273,niscayabulan,"seru sekali menerka-nerka gaji bersama rekan magang ditemani dgn mbak2 msib wkkwkw tida mau berharap sm lpdp, berharap sm Allah aja moga dikasi yang terbaik",0,0,1,0
10,2021-09-25 13:01:01+00:00,https://twitter.com/anaknyajunhao/status/1441749584028471305,anaknyajunhao,"Aaakkkk gua ngntk gua ngntk 
Pliss ini msib 2 jam lgi buat k jam 10",0,0,0,1
11,2021-09-23 12:21:39+00:00,https://twitter.com/SyukBagiKerja/status/1441014899392454657,SyukBagiKerja,"9 ) Accounting and Taxation Services Consultant
MSIB Corporate Consultancy Sdn. Bhd.
📍   Bandar Tasik Selatan, Kuala Lumpur
💰  RM2,500
 
MOHON DISINI 👉 https://t.co/hrElGbkKRl",1,2,1,0
12,2021-09-23 07:25:05+00:00,https://twitter.com/JapanMerchFess/status/1440940266936881152,JapanMerchFess,!lapakjpwta nendo todoroki msib 530k udh inc ship sampe rumah yay/nay? sender bingung ini harga nya murah apa ga ya.. soalnya abis checkout wl lama yg agk pricey jd kalo ini harga standard sender ga take duluu (&gt;.&lt;) TIA~,0,0,1,0
13,2021-09-22 16:35:27+00:00,https://twitter.com/orangewinnkr/status/1440716381368963082,orangewinnkr,"Ready CH 🇨🇳
Nendo Gojo 1528 
**keterangan seller MSIB / Sealed
Price : est 550.000 /each

Ready 5 Slot‼️
❌not including fee cargo 
‼️ongkir local china akan di bagi rata
dm @malfoyhunie2 for payment 📩 https://t.co/AT2i5rqmHY",3,1,1,1
